"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_sub[长正数相减得正数用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_add[0加1用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_add[0加1用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_sub[负数减正数得负数用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_add[字符串加正数用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_mult[小数乘于字符串异常用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_div[0除于负1用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_div[负数和正数相除用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:11 CST 2020","2","","test_calc1","TestCalcTaskOne","","","test_sub[十位数相减得正数用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","9","","test_calc1","TestCalcTaskOne","","","test_mult[0乘于负1用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_div[0相除用例异常用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_mult[长小数相乘用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","2","","test_calc2","TestCalcTaskOne","","","test_div[小数除于字符串异常用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","2","","test_calc2","TestCalcTaskOne","","","test_div[负小数出于负小数用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_sub[负数减长复数得正数用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_add[负数+正数数用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","2","","test_calc2","TestCalcTaskOne","","","test_sub[负数减正数得负数用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_mult[长正数相乘用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_div[小数除于字符串异常用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_sub[0减负1用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_div[0除于1用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_mult[1乘其他数用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_sub[长正数相减得正数用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_div[长整数除于负数用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_mult[正数乘负长正数用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_mult[字符串乘于正数异常用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_sub[减长正数得负数用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_mult[小数相乘用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_div[十位数相除用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_div[负数和正数相除用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_add[十位数相加用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","4","","test_calc2","TestCalcTaskOne","","","test_sub[0相减用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_add[0相加用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_div[0相除用例异常用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_div[十位数相除用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","2","","test_calc2","TestCalcTaskOne","","","test_sub[小数减字符串异常用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_add[0相加用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_add[两个短小数相加用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_mult[小数乘于字符串异常用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_add[两个短小数相加用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_sub[负数减长复数得正数用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_div[字符串除于正数异常用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_div[0除于1用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_mult[长小数相乘用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_mult[0相乘用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_sub[小数减字符串异常用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_sub[长小数相减得负数用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_add[长正数相加用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_add[两个长小数相加用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_sub[字符串减正数异常用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","2","","test_calc2","TestCalcTaskOne","","","test_div[结果为长小数用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_add[负数+正数数用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_sub[减长正数得负数用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_add[两个长小数相加用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_sub[0减1用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_add[十位数相加用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_div[负小数出于负小数用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_mult[负数乘于正数用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_add[长正数相加用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_sub[0减1用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_mult[负数乘于负长正数]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_mult[长正数相乘用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","6","","test_calc2","TestCalcTaskOne","","","test_mult[0乘于负1用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_add[0加负1用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_mult[字符串乘于正数异常用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_sub[十位数相减得正数用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_add[小数加字符串用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","2","","test_calc2","TestCalcTaskOne","","","test_mult[1乘其他数用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_add[两个负数相加用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_mult[0乘于1用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_mult[负数乘于负长正数]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_div[0除于负1用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_add[小数加字符串用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_mult[正数乘负长正数用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_add[0加负1用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_sub[小数相减得正数用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_div[除1用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","4","","test_calc1","TestCalcTaskOne","","","test_sub[长小数相减得负数用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_sub[0减负1用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","1","","test_calc2","TestCalcTaskOne","","","test_div[长整数除于负数用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_sub[0相减用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_add[字符串加正数用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_mult[十位数相乘用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_div[字符串除于正数异常用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_mult[0相乘用例]",""
"passed","Thu Oct 22 22:45:12 CST 2020","Thu Oct 22 22:45:12 CST 2020","4","","test_calc1","TestCalcTaskOne","","","test_mult[负数乘于正数用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_mult[十位数相乘用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_mult[0乘于1用例]",""
"passed","Thu Oct 22 22:45:09 CST 2020","Thu Oct 22 22:45:09 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_add[两个负数相加用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_sub[小数相减得正数用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_sub[字符串减正数异常用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","1","","test_calc1","TestCalcTaskOne","","","test_div[结果为长小数用例]",""
"passed","Thu Oct 22 22:45:10 CST 2020","Thu Oct 22 22:45:10 CST 2020","0","","test_calc1","TestCalcTaskOne","","","test_div[除1用例]",""
"passed","Thu Oct 22 22:45:11 CST 2020","Thu Oct 22 22:45:11 CST 2020","0","","test_calc2","TestCalcTaskOne","","","test_mult[小数相乘用例]",""
